mode,f_msc1_Hz,f_msc05_Hz,rel_change
1,522188.3981583096,521700.8631413825,0.0009345106580644658
2,2636669.906098053,2634758.9491591547,0.000725287199236213
3,2788334.6134021725,2786137.097728428,0.000788732067612952
4,5521642.846252108,5519346.460042451,0.00041606125404197833
5,7619326.58839374,7616451.201354814,0.0003775232011484719
6,9512670.899784021,9502286.841115434,0.001092795749298641
7,9590206.378412887,9578895.136257894,0.0011808504001863396
8,9684741.554203207,9672799.05179526,0.0012346480417921059
