V_DC_MAX_V,S_mrad_V,L_um
8.627806466937735195e+02,6.977762984208861496e+01,1.300000000000000000e+02
6.636779187875264370e+02,6.977757745677935475e+01,9.999999999999998579e+01
5.974024358448525618e+02,6.976679562270786050e+01,8.999999999999998579e+01
6.638640071031888965e+02,6.975801804141566720e+01,9.999999999999998579e+01
5.975419648008695503e+02,6.975050473649181981e+01,8.999999999999998579e+01
6.639835510911456140e+02,6.974545876693525770e+01,9.999999999999998579e+01
8.631881882424949026e+02,6.974468536518392625e+01,1.300000000000000000e+02
6.640033531678590180e+02,6.974337880014243751e+01,9.999999999999998579e+01
7.305201203470744531e+02,6.973226295095545879e+01,1.099999999999999858e+02
7.305282772213273574e+02,6.973148434002690976e+01,1.099999999999999858e+02
7.305512668814798189e+02,6.972928996545037705e+01,1.099999999999999858e+02
8.634135513709102270e+02,6.972648101749990701e+01,1.300000000000000000e+02
7.971108751824432375e+02,6.971653077589937197e+01,1.199999999999999858e+02
7.971347982175623201e+02,6.971443849361804723e+01,1.199999999999999858e+02
7.309182448471103726e+02,6.969428042347109908e+01,1.099999999999999858e+02
7.309924318636216185e+02,6.968720728494444927e+01,1.099999999999999858e+02
7.310852161561417688e+02,6.967836306530662682e+01,1.099999999999999858e+02
6.647495399962176634e+02,6.966509128357463965e+01,9.999999999999998579e+01
8.642004016450854351e+02,6.966299539471907565e+01,1.300000000000000000e+02
6.647742351227190056e+02,6.966250335499513824e+01,9.999999999999998579e+01
8.642164591215882865e+02,6.966170102928566621e+01,1.300000000000000000e+02
5.985193955674255903e+02,6.963659649923640416e+01,8.999999999999998579e+01
9.310873133351161641e+02,6.963232277984666041e+01,1.400000000000000000e+02
7.981173705889679013e+02,6.962861216822265931e+01,1.199999999999999858e+02
6.650981504232344150e+02,6.962857640647705182e+01,9.999999999999998579e+01
7.316580244231327015e+02,6.962381252248211183e+01,1.099999999999999858e+02
7.317000721261548506e+02,6.961981153696395097e+01,1.099999999999999858e+02
7.317683603823439853e+02,6.961331465108656857e+01,1.099999999999999858e+02
8.649874615867363445e+02,6.959960840297006257e+01,1.300000000000000000e+02
5.988505891589868497e+02,6.959808406405440451e+01,8.999999999999998579e+01
7.319363147663118525e+02,6.959734077311070166e+01,1.099999999999999858e+02
7.320255182543756973e+02,6.958885974970084476e+01,1.099999999999999858e+02
6.655147740685006283e+02,6.958498772528245979e+01,9.999999999999998579e+01
7.320733817055163399e+02,6.958430998314491944e+01,1.099999999999999858e+02
7.321184787241443246e+02,6.958002373028460852e+01,1.099999999999999858e+02
6.655922832931116773e+02,6.957688444857907939e+01,9.999999999999998579e+01
8.653465511880198164e+02,6.957072691543585563e+01,1.300000000000000000e+02
5.991502946432190129e+02,6.956326988191590033e+01,8.999999999999998579e+01
7.324619514541413992e+02,6.954739563177865591e+01,1.099999999999999858e+02
9.324434300861113343e+02,6.953105169327389490e+01,1.400000000000000000e+02
7.326405482593398801e+02,6.953044196643864439e+01,1.099999999999999858e+02
8.658654996631358927e+02,6.952903034401740001e+01,1.300000000000000000e+02
6.661074982542894531e+02,6.952306873277646559e+01,9.999999999999998579e+01
7.327951992663856799e+02,6.951576808090935344e+01,1.099999999999999858e+02
7.995470841288183692e+02,6.950410546742421047e+01,1.199999999999999858e+02
7.330255167831144263e+02,6.949392614128882428e+01,1.099999999999999858e+02
7.996766013875896988e+02,6.949284844027364727e+01,1.199999999999999858e+02
7.997213268792555709e+02,6.948896195918418073e+01,1.199999999999999858e+02
5.998685114517318198e+02,6.947998244686885982e+01,8.999999999999998579e+01
7.332485366158504121e+02,6.947278934658653782e+01,1.099999999999999858e+02
8.666206416314734042e+02,6.946844525486959299e+01,1.300000000000000000e+02
8.666778023695093225e+02,6.946386354343066216e+01,1.300000000000000000e+02
8.002648489044283906e+02,6.944176660706679627e+01,1.199999999999999858e+02
7.335850047375907934e+02,6.944092476539614722e+01,1.099999999999999858e+02
8.003061575211278296e+02,6.943818229962052158e+01,1.199999999999999858e+02
7.336446475890396641e+02,6.943527945090518472e+01,1.099999999999999858e+02
6.669831901249625616e+02,6.943179089097338874e+01,9.999999999999998579e+01
6.004013157598535599e+02,6.941832496377513451e+01,8.999999999999998579e+01
7.339085834829636497e+02,6.941030840823832193e+01,1.099999999999999858e+02
6.004731896577255839e+02,6.941001590737621996e+01,8.999999999999998579e+01
6.671946501045724744e+02,6.940978525126422483e+01,9.999999999999998579e+01
7.340102776549969121e+02,6.940069188915263965e+01,1.099999999999999858e+02
8.007566463171850728e+02,6.939911784316122123e+01,1.199999999999999858e+02
6.673364890555001239e+02,6.939503255710525309e+01,9.999999999999998579e+01
6.674150971168687647e+02,6.938685921940059131e+01,9.999999999999998579e+01
8.009553006495521004e+02,6.938190535276280002e+01,1.199999999999999858e+02
6.007241717278855049e+02,6.938101645920659166e+01,8.999999999999998579e+01
8.677377210761445667e+02,6.937901526886962245e+01,1.300000000000000000e+02
6.676285133009997708e+02,6.936467880255436569e+01,9.999999999999998579e+01
8.680382054337471800e+02,6.935499868906511267e+01,1.300000000000000000e+02
7.345210699349971719e+02,6.935243005011949435e+01,1.099999999999999858e+02
8.013060921125904770e+02,6.935153171611301559e+01,1.199999999999999858e+02
8.680994919818793960e+02,6.935010232810115838e+01,1.300000000000000000e+02
7.345980188421494859e+02,6.934516540528814232e+01,1.099999999999999858e+02
8.015250690670318363e+02,6.933258485120869352e+01,1.199999999999999858e+02
7.347468331808514677e+02,6.933112035675448226e+01,1.099999999999999858e+02
6.681895383902800631e+02,6.930643885283613770e+01,9.999999999999998579e+01
7.350365150077287808e+02,6.930379659093560463e+01,1.099999999999999858e+02
8.688172135618490302e+02,6.929281287269323286e+01,1.300000000000000000e+02
7.352740069547103303e+02,6.928141161141789439e+01,1.099999999999999858e+02
7.353186142750595309e+02,6.927720872839276467e+01,1.099999999999999858e+02
6.016660731404007265e+02,6.927240126496177197e+01,8.999999999999998579e+01
7.354428910739139837e+02,6.926550210937607233e+01,1.099999999999999858e+02
6.017384697809357021e+02,6.926406693138459048e+01,8.999999999999998579e+01
8.692278122285296149e+02,6.926008090510566717e+01,1.300000000000000000e+02
9.360971977711316185e+02,6.925965860462108026e+01,1.400000000000000000e+02
8.693616002765141957e+02,6.924942231261135817e+01,1.300000000000000000e+02
8.024945491865262284e+02,6.924882532572090099e+01,1.199999999999999858e+02
6.687999761361672881e+02,6.924318037822729366e+01,9.999999999999998579e+01
7.357192308190192307e+02,6.923948564766664049e+01,1.099999999999999858e+02
6.021030179990175384e+02,6.922213043310750891e+01,8.999999999999998579e+01
6.022480530515381361e+02,6.920546016697367975e+01,8.999999999999998579e+01
7.362149508808428209e+02,6.919286420638127311e+01,1.099999999999999858e+02
8.701341213552403815e+02,6.918794140166538398e+01,1.300000000000000000e+02
8.701703879396643515e+02,6.918505781661957599e+01,1.300000000000000000e+02
6.694118855355166033e+02,6.917988518758338046e+01,9.999999999999998579e+01
7.364315123408197223e+02,6.917251675051959126e+01,1.099999999999999858e+02
6.695099084288933682e+02,6.916975656599886690e+01,9.999999999999998579e+01
6.695450289724526556e+02,6.916612831197062405e+01,9.999999999999998579e+01
6.026296717518912374e+02,6.916163541189735042e+01,8.999999999999998579e+01
8.705534163818215347e+02,6.915461758811964899e+01,1.300000000000000000e+02
8.036301257969496419e+02,6.915097266463355652e+01,1.199999999999999858e+02
7.366925123711454262e+02,6.914800987870209781e+01,1.099999999999999858e+02
7.366986330951257287e+02,6.914743537528475770e+01,1.099999999999999858e+02
6.028625671798622534e+02,6.913491716871004655e+01,8.999999999999998579e+01
8.709791516161070604e+02,6.912081476142031988e+01,1.300000000000000000e+02
8.710470819788166636e+02,6.911542423533434487e+01,1.300000000000000000e+02
8.040518302917699884e+02,6.911470475889009890e+01,1.199999999999999858e+02
8.040558045399139928e+02,6.911436314207001885e+01,1.199999999999999858e+02
6.031154997542773799e+02,6.910592359685095687e+01,8.999999999999998579e+01
7.371554864619636191e+02,6.910458113457222851e+01,1.099999999999999858e+02
8.042516222029113351e+02,6.909753530772513841e+01,1.199999999999999858e+02
8.043148144191718529e+02,6.909210655480904961e+01,1.199999999999999858e+02
6.703155982158588131e+02,6.908661756911375562e+01,9.999999999999998579e+01
7.374019402580361202e+02,6.908148506522820753e+01,1.099999999999999858e+02
7.374269346791821818e+02,6.907914361057024166e+01,1.099999999999999858e+02
7.375374724953910572e+02,6.906879043128776630e+01,1.099999999999999858e+02
7.375759973899253055e+02,6.906518284660985785e+01,1.099999999999999858e+02
8.718672704972872225e+02,6.905040553429431327e+01,1.300000000000000000e+02
7.377455470166412397e+02,6.904931019781101043e+01,1.099999999999999858e+02
7.378524077019371816e+02,6.903931001819522351e+01,1.099999999999999858e+02
8.049422883531768775e+02,6.903824741914687024e+01,1.199999999999999858e+02
8.050219117138856291e+02,6.903141896243411679e+01,1.199999999999999858e+02
6.037901502882072009e+02,6.902870745109224515e+01,8.999999999999998579e+01
6.709086471938441036e+02,6.902554852772757954e+01,9.999999999999998579e+01
1.006379968956491894e+03,6.902438265822560481e+01,1.500000000000000000e+02
7.381297030909486239e+02,6.901337381450581177e+01,1.099999999999999858e+02
8.052727314755718453e+02,6.900991762086840708e+01,1.199999999999999858e+02
8.723942148046206739e+02,6.900869764868721745e+01,1.300000000000000000e+02
6.039754520189311506e+02,6.900752920797397394e+01,8.999999999999998579e+01
