mode,f_msc1_Hz,f_msc05_Hz,rel_change
1,496761.63903869555,496255.77422984754,0.001019363068637491
2,2544719.3595345933,2542674.9195045186,0.0008040508892395377
3,3315241.7736961176,3308058.1597895185,0.002171550063393138
4,3318404.7834962737,3311160.127336291,0.002187951014561961
5,3318431.3992647575,3311241.4949222435,0.00217136211706082
6,3318508.7132396763,3311275.8407322387,0.0021843159118505083
