msc,nelem,uy_mass,uy_bar,k_mass,k_bar,m_shuttle
2.0,4516,-2.703741300489334e-08,-2.698091178531128e-08,36.985787058067125,37.06323966947668,4.240600000000026e-12
1.0,12709,-2.7120655039716486e-08,-2.706414022241025e-08,36.87226575226753,36.949261708744686,4.2405999999999955e-12
0.5,44563,-2.7177850258635398e-08,-2.7121226258447008e-08,36.79466883817506,36.87148916021252,4.24059999999999e-12
