Vd_V,uy_rest_m,a_max_m_s2,a_max_g,verify_uy_m,verify_resid
0,0.0,1902642.3675746548,193949.27294338986,1.9984170499762374e-07,-0.0007914750118812512
1,-1.6021488347725282e-12,1902653.152143753,193950.37228784434,1.9984164052943523e-07,-0.0007917973528237949
10,-1.6025771695696866e-10,1903720.1592192876,194059.13957383155,1.99836332477298e-07,-0.0008183376135100195
50,-4.0327399320538834e-09,1929508.8780036569,196687.95902177948,1.996989662648791e-07,-0.0015051686756045034
