t_s,uy_mass_m
0.000000000000000000e+00,0.000000000000000000e+00
1.999999999999999909e-07,-2.339663586062475717e-15
3.999999999999999819e-07,-4.415887913535637584e-13
5.999999999999999728e-07,-8.370745314278999906e-12
7.999999999999999638e-07,-6.065020761648544682e-11
9.999999999999999547e-07,-2.585041314236314251e-10
1.199999999999999946e-06,-7.400600379027164360e-10
1.399999999999999937e-06,-1.638281079925252140e-09
1.599999999999999928e-06,-2.968065199770821948e-09
1.799999999999999919e-06,-4.497294868724700772e-09
1.999999999999999909e-06,-5.804604413316149698e-09
2.200000000000000112e-06,-6.449484428229153991e-09
2.399999999999999891e-06,-6.212681531313749432e-09
2.599999999999999671e-06,-5.166367283983840484e-09
2.799999999999999873e-06,-3.738365904757691546e-09
3.000000000000000076e-06,-2.422308471862065131e-09
3.199999999999999855e-06,-1.707712393281366126e-09
3.399999999999999634e-06,-1.887907921278026913e-09
3.599999999999999837e-06,-2.784510786344951438e-09
3.800000000000000040e-06,-4.187338728464732585e-09
3.999999999999999819e-06,-5.528647092414214706e-09
4.199999999999999598e-06,-6.299562011055512414e-09
4.400000000000000224e-06,-6.221940884671364281e-09
4.600000000000000004e-06,-5.370952618711052464e-09
4.799999999999999783e-06,-4.042975265133563542e-09
4.999999999999999562e-06,-2.706681139479326320e-09
5.199999999999999341e-06,-1.862566349985510675e-09
5.399999999999999967e-06,-1.826716045660139073e-09
5.599999999999999747e-06,-2.627675657814194949e-09
5.799999999999999526e-06,-3.896978116606729165e-09
6.000000000000000152e-06,-5.230681685730969927e-09
6.199999999999999931e-06,-6.118536485728417526e-09
6.399999999999999710e-06,-6.228714241419136658e-09
6.599999999999999490e-06,-5.534518619381193304e-09
6.799999999999999269e-06,-4.332071846575895867e-09
6.999999999999999895e-06,-2.999772649711968152e-09
7.199999999999999674e-06,-2.063916951558099221e-09
7.399999999999999453e-06,-1.861452827428936552e-09
7.600000000000000080e-06,-2.455727263099257523e-09
7.799999999999999859e-06,-3.622991325458227997e-09
7.999999999999999638e-06,-4.939208072062206175e-09
8.199999999999999417e-06,-5.915912758526481122e-09
8.399999999999999196e-06,-6.196840775241201850e-09
8.599999999999998976e-06,-5.687035474934072923e-09
8.800000000000000449e-06,-4.589680482499915467e-09
9.000000000000000228e-06,-3.291720315728057222e-09
9.200000000000000007e-06,-2.269632562561044625e-09
9.399999999999999786e-06,-1.900508934840671776e-09
9.599999999999999566e-06,-2.309141302220956526e-09
9.799999999999999345e-06,-3.364179206312278546e-09
9.999999999999999124e-06,-4.686633788179124945e-09
1.019999999999999890e-05,-5.764784345179728811e-09
1.039999999999999868e-05,-6.194320300573984206e-09
1.060000000000000016e-05,-5.829959812504407776e-09
1.079999999999999993e-05,-4.836156709231687766e-09
1.099999999999999971e-05,-3.548138147589901278e-09
1.119999999999999949e-05,-2.450548408936818690e-09
1.139999999999999927e-05,-1.942816165805928166e-09
1.159999999999999905e-05,-2.199316858627448749e-09
1.179999999999999883e-05,-3.133892573994988599e-09
1.200000000000000030e-05,-4.389438961119148497e-09
1.220000000000000008e-05,-5.512176472141911897e-09
1.239999999999999986e-05,-6.087093879567276834e-09
1.259999999999999964e-05,-5.882399117431848716e-09
